,datum,use,model,fault,network,display,attribute,time,element,select,value,set,diagnosis,feature,base,click,page,image,method,template,convolutional,data,create,cnn,table,one,type,well,learning,deep,reference,change,signal,also,neural,asset,example,information,system,result,parameter,application,bear,training,show,different,new,process,dataset,name
datum,0,7,7,3,4,4,4,7,7,5,6,6,4,6,6,2,4,7,6,3,2,7,5,2,6,6,6,7,6,4,7,6,3,6,4,5,6,7,6,6,6,6,2,6,6,5,6,6,4,5
use,7,0,7,3,4,4,4,7,7,5,6,6,4,6,6,2,4,7,6,3,2,7,5,2,6,6,6,7,6,4,7,6,3,6,4,5,6,7,6,6,6,6,2,6,6,5,6,6,4,5
model,7,7,0,3,4,4,4,7,7,5,6,6,4,6,6,2,4,7,6,3,2,7,5,2,6,6,6,7,6,4,7,6,3,6,4,5,6,7,6,6,6,6,2,6,6,5,6,6,4,5
fault,3,3,3,0,3,2,1,3,3,2,3,3,3,3,3,0,2,3,3,1,2,3,3,2,3,3,3,3,3,3,3,2,3,3,3,2,3,3,3,3,3,3,2,3,3,3,3,3,3,2
network,4,4,4,3,0,2,1,4,4,3,4,4,4,4,4,0,2,4,4,1,2,4,3,2,4,4,4,4,4,4,4,3,3,4,4,2,4,4,4,4,4,4,2,4,4,3,4,4,3,2
display,4,4,4,2,2,0,3,4,4,4,4,4,2,4,4,2,3,4,3,3,1,4,4,1,4,4,4,4,3,2,4,4,2,4,2,3,4,4,4,4,4,3,1,4,4,4,4,4,2,4
attribute,4,4,4,1,1,3,0,4,4,3,3,3,1,3,3,2,3,4,3,3,0,4,3,0,3,3,3,4,3,1,4,4,1,3,1,4,3,4,3,3,3,3,0,3,3,3,3,3,2,4
time,7,7,7,3,4,4,4,0,7,5,6,6,4,6,6,2,4,7,6,3,2,7,5,2,6,6,6,7,6,4,7,6,3,6,4,5,6,7,6,6,6,6,2,6,6,5,6,6,4,5
element,7,7,7,3,4,4,4,7,0,5,6,6,4,6,6,2,4,7,6,3,2,7,5,2,6,6,6,7,6,4,7,6,3,6,4,5,6,7,6,6,6,6,2,6,6,5,6,6,4,5
select,5,5,5,2,3,4,3,5,5,0,5,5,3,5,5,2,3,5,4,3,1,5,4,1,5,5,5,5,4,3,5,5,2,5,3,3,5,5,5,5,5,4,1,5,5,4,5,5,2,4
value,6,6,6,3,4,4,3,6,6,5,0,6,4,6,6,2,4,6,5,3,2,6,5,2,6,6,6,6,5,4,6,5,3,6,4,4,6,6,6,6,6,5,2,6,6,5,6,6,3,4
set,6,6,6,3,4,4,3,6,6,5,6,0,4,6,6,2,4,6,5,3,2,6,5,2,6,6,6,6,5,4,6,5,3,6,4,4,6,6,6,6,6,5,2,6,6,5,6,6,3,4
diagnosis,4,4,4,3,4,2,1,4,4,3,4,4,0,4,4,0,2,4,4,1,2,4,3,2,4,4,4,4,4,4,4,3,3,4,4,2,4,4,4,4,4,4,2,4,4,3,4,4,3,2
feature,6,6,6,3,4,4,3,6,6,5,6,6,4,0,6,2,4,6,5,3,2,6,5,2,6,6,6,6,5,4,6,5,3,6,4,4,6,6,6,6,6,5,2,6,6,5,6,6,3,4
base,6,6,6,3,4,4,3,6,6,5,6,6,4,6,0,2,4,6,5,3,2,6,5,2,6,6,6,6,5,4,6,5,3,6,4,4,6,6,6,6,6,5,2,6,6,5,6,6,3,4
click,2,2,2,0,0,2,2,2,2,2,2,2,0,2,2,0,2,2,1,2,0,2,2,0,2,2,2,2,1,0,2,2,0,2,0,2,2,2,2,2,2,1,0,2,2,2,2,2,0,2
page,4,4,4,2,2,3,3,4,4,3,4,4,2,4,4,2,0,4,3,3,1,4,4,1,4,4,4,4,3,2,4,3,2,4,2,4,4,4,4,4,4,3,1,4,4,4,4,4,2,3
image,7,7,7,3,4,4,4,7,7,5,6,6,4,6,6,2,4,0,6,3,2,7,5,2,6,6,6,7,6,4,7,6,3,6,4,5,6,7,6,6,6,6,2,6,6,5,6,6,4,5
method,6,6,6,3,4,3,3,6,6,4,5,5,4,5,5,1,3,6,0,2,2,6,4,2,5,5,5,6,6,4,6,5,3,5,4,4,5,6,5,5,5,6,2,5,5,4,5,5,4,4
template,3,3,3,1,1,3,3,3,3,3,3,3,1,3,3,2,3,3,2,0,0,3,3,0,3,3,3,3,2,1,3,3,1,3,1,3,3,3,3,3,3,2,0,3,3,3,3,3,1,3
convolutional,2,2,2,2,2,1,0,2,2,1,2,2,2,2,2,0,1,2,2,0,0,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1
data,7,7,7,3,4,4,4,7,7,5,6,6,4,6,6,2,4,7,6,3,2,0,5,2,6,6,6,7,6,4,7,6,3,6,4,5,6,7,6,6,6,6,2,6,6,5,6,6,4,5
create,5,5,5,3,3,4,3,5,5,4,5,5,3,5,5,2,4,5,4,3,2,5,0,2,5,5,5,5,4,3,5,4,3,5,3,4,5,5,5,5,5,4,2,5,5,5,5,5,3,4
cnn,2,2,2,2,2,1,0,2,2,1,2,2,2,2,2,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1
table,6,6,6,3,4,4,3,6,6,5,6,6,4,6,6,2,4,6,5,3,2,6,5,2,0,6,6,6,5,4,6,5,3,6,4,4,6,6,6,6,6,5,2,6,6,5,6,6,3,4
one,6,6,6,3,4,4,3,6,6,5,6,6,4,6,6,2,4,6,5,3,2,6,5,2,6,0,6,6,5,4,6,5,3,6,4,4,6,6,6,6,6,5,2,6,6,5,6,6,3,4
type,6,6,6,3,4,4,3,6,6,5,6,6,4,6,6,2,4,6,5,3,2,6,5,2,6,6,0,6,5,4,6,5,3,6,4,4,6,6,6,6,6,5,2,6,6,5,6,6,3,4
well,7,7,7,3,4,4,4,7,7,5,6,6,4,6,6,2,4,7,6,3,2,7,5,2,6,6,6,0,6,4,7,6,3,6,4,5,6,7,6,6,6,6,2,6,6,5,6,6,4,5
learning,6,6,6,3,4,3,3,6,6,4,5,5,4,5,5,1,3,6,6,2,2,6,4,2,5,5,5,6,0,4,6,5,3,5,4,4,5,6,5,5,5,6,2,5,5,4,5,5,4,4
deep,4,4,4,3,4,2,1,4,4,3,4,4,4,4,4,0,2,4,4,1,2,4,3,2,4,4,4,4,4,0,4,3,3,4,4,2,4,4,4,4,4,4,2,4,4,3,4,4,3,2
reference,7,7,7,3,4,4,4,7,7,5,6,6,4,6,6,2,4,7,6,3,2,7,5,2,6,6,6,7,6,4,0,6,3,6,4,5,6,7,6,6,6,6,2,6,6,5,6,6,4,5
change,6,6,6,2,3,4,4,6,6,5,5,5,3,5,5,2,3,6,5,3,1,6,4,1,5,5,5,6,5,3,6,0,2,5,3,4,5,6,5,5,5,5,1,5,5,4,5,5,3,5
signal,3,3,3,3,3,2,1,3,3,2,3,3,3,3,3,0,2,3,3,1,2,3,3,2,3,3,3,3,3,3,3,2,0,3,3,2,3,3,3,3,3,3,2,3,3,3,3,3,3,2
also,6,6,6,3,4,4,3,6,6,5,6,6,4,6,6,2,4,6,5,3,2,6,5,2,6,6,6,6,5,4,6,5,3,0,4,4,6,6,6,6,6,5,2,6,6,5,6,6,3,4
neural,4,4,4,3,4,2,1,4,4,3,4,4,4,4,4,0,2,4,4,1,2,4,3,2,4,4,4,4,4,4,4,3,3,4,0,2,4,4,4,4,4,4,2,4,4,3,4,4,3,2
asset,5,5,5,2,2,3,4,5,5,3,4,4,2,4,4,2,4,5,4,3,1,5,4,1,4,4,4,5,4,2,5,4,2,4,2,0,4,5,4,4,4,4,1,4,4,4,4,4,3,4
example,6,6,6,3,4,4,3,6,6,5,6,6,4,6,6,2,4,6,5,3,2,6,5,2,6,6,6,6,5,4,6,5,3,6,4,4,0,6,6,6,6,5,2,6,6,5,6,6,3,4
information,7,7,7,3,4,4,4,7,7,5,6,6,4,6,6,2,4,7,6,3,2,7,5,2,6,6,6,7,6,4,7,6,3,6,4,5,6,0,6,6,6,6,2,6,6,5,6,6,4,5
system,6,6,6,3,4,4,3,6,6,5,6,6,4,6,6,2,4,6,5,3,2,6,5,2,6,6,6,6,5,4,6,5,3,6,4,4,6,6,0,6,6,5,2,6,6,5,6,6,3,4
result,6,6,6,3,4,4,3,6,6,5,6,6,4,6,6,2,4,6,5,3,2,6,5,2,6,6,6,6,5,4,6,5,3,6,4,4,6,6,6,0,6,5,2,6,6,5,6,6,3,4
parameter,6,6,6,3,4,4,3,6,6,5,6,6,4,6,6,2,4,6,5,3,2,6,5,2,6,6,6,6,5,4,6,5,3,6,4,4,6,6,6,6,0,5,2,6,6,5,6,6,3,4
application,6,6,6,3,4,3,3,6,6,4,5,5,4,5,5,1,3,6,6,2,2,6,4,2,5,5,5,6,6,4,6,5,3,5,4,4,5,6,5,5,5,0,2,5,5,4,5,5,4,4
bear,2,2,2,2,2,1,0,2,2,1,2,2,2,2,2,0,1,2,2,0,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,0,2,2,2,2,2,2,1
training,6,6,6,3,4,4,3,6,6,5,6,6,4,6,6,2,4,6,5,3,2,6,5,2,6,6,6,6,5,4,6,5,3,6,4,4,6,6,6,6,6,5,2,0,6,5,6,6,3,4
show,6,6,6,3,4,4,3,6,6,5,6,6,4,6,6,2,4,6,5,3,2,6,5,2,6,6,6,6,5,4,6,5,3,6,4,4,6,6,6,6,6,5,2,6,0,5,6,6,3,4
different,5,5,5,3,3,4,3,5,5,4,5,5,3,5,5,2,4,5,4,3,2,5,5,2,5,5,5,5,4,3,5,4,3,5,3,4,5,5,5,5,5,4,2,5,5,0,5,5,3,4
new,6,6,6,3,4,4,3,6,6,5,6,6,4,6,6,2,4,6,5,3,2,6,5,2,6,6,6,6,5,4,6,5,3,6,4,4,6,6,6,6,6,5,2,6,6,5,0,6,3,4
process,6,6,6,3,4,4,3,6,6,5,6,6,4,6,6,2,4,6,5,3,2,6,5,2,6,6,6,6,5,4,6,5,3,6,4,4,6,6,6,6,6,5,2,6,6,5,6,0,3,4
dataset,4,4,4,3,3,2,2,4,4,2,3,3,3,3,3,0,2,4,4,1,2,4,3,2,3,3,3,4,4,3,4,3,3,3,3,3,3,4,3,3,3,4,2,3,3,3,3,3,0,3
name,5,5,5,2,2,4,4,5,5,4,4,4,2,4,4,2,3,5,4,3,1,5,4,1,4,4,4,5,4,2,5,5,2,4,2,4,4,5,4,4,4,4,1,4,4,4,4,4,3,0
